ST_TOP_X,ST_TOP_Z,HT_TOP_X,HT_TOP_Z,HT_BOTTOM_X,HT_BOTTOM_Z,BB_X,BB_Z,CS_SS_X,CS_SS_Z
530.207388816736,1392.1372046980105,1065.9266432743316,1376.7887656447565,1078.99565847544,1334.0419430532093,700.0,800.0,301.0952494642261,870.0
559.6998525589006,1305.9059879345277,1056.6133343976107,1368.5565225473329,1065.484155482991,1340.421872500261,700.0,800.0,275.73593128805805,870.0
556.6685749751632,1299.8560818879323,1082.1075278559874,1372.6378182205972,1094.839028024231,1333.4542897492393,700.0,800.0,297.50776405003853,845.0
553.912201417028,1309.468698847314,1075.9976007290534,1377.6494399251533,1092.896685262036,1322.375025030491,700.0,800.0,301.0952494642406,870.0000000000036
565.8981474091852,1317.0941240545235,1131.0175106677489,1377.2855872340388,1147.286316362006,1316.7329988394667,700.0,800.0,318.9118068503012,854.7429360000006
528.2779273260094,1398.8660365695796,1146.987017354957,1428.7252595873142,1190.2425543533755,1282.6970139668883,700.0,800.0,301.0952494642115,870.0
555.1521742010082,1288.9980647827833,1119.5751243528211,1381.5702894245806,1151.999146406568,1275.5160919882655,700.0,800.0,293.34940059061046,852.2999999999993
531.0108699011653,1370.4977422465745,1075.126122704878,1375.667607216119,1099.0686162634156,1294.83910356673,700.0,800.0,301.4915308302734,860.0
555.1607088493256,1289.0005927797793,1088.050381585559,1370.0790860401394,1106.5295978491813,1313.2059063656889,700.0,800.0,264.1101056459338,859.9999999999964
535.7201359330647,1372.9119707792433,1137.4691766277829,1378.1533103882703,1166.7355842705292,1282.4272043163692,700.0,800.0,281.1432225688768,872.0000000000018
547.6989244796714,1307.645922268025,1118.9646592506906,1384.7564498968995,1150.631788538114,1279.2044109649469,700.0,800.0,300.58042111081886,867.0
554.8468626402027,1382.177435765585,1074.368035920168,1342.660416242732,1095.0523579939327,1259.7001316461356,700.0,800.0,322.67388110546744,844.9999999999964
543.7915604128502,1327.3508541775118,1094.6338515404204,1380.3270932418345,1116.0354603261221,1310.3255851053364,700.0,800.0,301.0952494642406,870.0
578.6657425400626,1196.8664737246654,1066.3769901985652,1321.4019619450119,1079.8627873116056,1283.31924570489,700.0,800.0,300.7494520980399,868.0
578.9873514152569,1195.8145384931045,1029.8168836207915,1386.306856805627,1043.2954052153218,1347.1623877758138,700.0,800.0,285.7536964558385,825.0
577.2038840164496,1201.647997504475,1082.0906119173724,1375.800884649234,1097.0779361445575,1329.6746436089197,700.0,800.0,294.41400418653484,860.0
563.7547855992016,1245.638016278779,1009.4143444620131,1376.5149618370656,1025.487007162883,1316.5309680245155,700.0,800.0,347.0,800.0
564.1200013211783,1307.111058801749,1050.27485969993,1335.9235264296767,1056.6885807258077,1312.7963955526684,700.0,800.0,310.71349766528874,870.0000000000018
578.7195634405252,1222.9551462128602,1071.6900109443886,1364.6042474972419,1083.9403853722724,1324.5350782223904,700.0,800.0,301.095249464237,870.0
556.572250924517,1284.20396610844,1103.0886483300637,1362.1666189773096,1126.6339124312435,1287.490581733724,700.0,800.0,274.94118054085993,865.0000000000009
556.7378646858706,1268.589330421879,1064.3499579020427,1381.7442043198753,1094.0686169314722,1285.738728926579,700.0,800.0,299.9062609837565,869.0
553.8141476386227,1278.1523779815216,1080.5384657554096,1383.1960075097086,1100.010421289946,1319.5061107625697,700.0,800.0,282.9868107601069,850.0000000000018
552.8516499089019,1296.7645046352136,1031.7921492108726,1369.531160912953,1042.8119445853808,1332.3289552000751,700.0,800.0,301.92906549209147,867.0
574.490920562901,1303.3894227919845,984.2430044435678,1369.3026062461813,990.114226961945,1343.8715475552854,700.0,800.0,346.65124253791146,830.0000000000018
630.1621592712763,1014.9387726827149,1019.0958222369954,1368.8335921553971,1036.7406926158,1314.5282650749468,700.0,800.0,310.12822620765655,790.0000000000009
631.090661045775,1040.315423984588,1001.7909953034541,1399.4576119801177,1009.8872405560687,1374.5399312531845,700.0,800.0,312.070000000007,800.0
615.8023761388067,1067.0407462095072,870.4349764300605,1391.0883146367096,878.3458114860623,1366.7412678195578,700.0,800.0,321.16999999999825,800.0
604.4958380774478,1102.900503557641,1019.5371391322988,1388.3412014876976,1037.0820981650031,1347.9905582147512,700.0,800.0,277.47307778085815,820.0
595.7402680676751,1141.0182814709515,1096.8349876655557,1409.5070163286473,1112.6410915929882,1375.611189466992,700.0,800.0,287.2337245737581,843.0000217529487
607.2949016875154,1085.3169548885453,1055.1601696655525,1371.6695244036964,1080.8888796811516,1287.5147058789498,700.0,800.0,240.1087084973242,810.0
584.1186271093902,1156.6461936106825,1043.9511287496425,1361.9124775551709,1053.9460710914864,1332.8850572842675,700.0,800.0,279.25661027175374,860.0
573.8403838825179,1225.9077262284554,1106.1285338665475,1396.8966648523583,1120.0954076927446,1356.3339179591458,700.0,800.0,250.3923933027836,863.0
570.2128623625249,1199.4437368439621,1108.9682713595394,1369.3216702719337,1133.8903547767914,1306.053275649152,700.0,800.0,275.4708490574485,820.0
577.3500698688149,1201.1698451264965,1093.624176691017,1380.44464163691,1108.828209504165,1336.2889241564226,700.0,800.0,277.61747195226053,837.0
557.9923276480258,1279.4098674340967,1107.4586999772437,1496.8158196544464,1136.0761407540122,1413.7047368592648,700.0,800.0,250.41685974672146,870.0
