ST_OD,ST_T,HT_OD,HT_T,TT_OD,TT_T,DT_OD,DT_T,CS_OD,CS_T,SS_OD,SS_T
0.0268,0.002069263,0.0261,0.007832676,0.037000000000000005,0.001798167,0.0365,0.001373854,0.023350000000000003,0.003472968,0.013000000000000001,0.008377849
0.0318,0.007206093,0.0286,0.003407551,0.045,0.004512466,0.0365,0.000918844,0.023350000000000003,0.004955313,0.0125,0.005975654
0.0318,0.000829417,0.0286,0.001144279,0.045,0.007398347,0.0365,0.002801021,0.023350000000000003,0.0018273340000000001,0.013000000000000001,0.007890172
0.0318,0.002192345,0.0286,0.001894009,0.045,0.001348962,0.0365,0.005304092,0.023350000000000003,0.003728304,0.013000000000000001,0.00096358
0.0318,0.004256015,0.0286,0.000639286,0.05,0.000555532,0.0365,0.003967439,0.023350000000000003,0.000826994,0.013000000000000001,0.004256015
0.0318,0.000601633,0.0286,0.001165394,0.045,0.006982992,0.0365,0.000869799,0.023350000000000003,0.000838566,0.013000000000000001,0.009493972
0.035,0.000803738,0.0286,0.001910705,0.045,0.002317657,0.0365,0.000500366,0.0255,0.009876435,0.013000000000000001,0.000839794
0.035,0.000574961,0.0302,0.004094195,0.045,0.007590177,0.0365,0.004130286,0.023350000000000003,0.007668294,0.013000000000000001,0.003516419
0.03,0.002019918,0.02805,0.007804085,0.036000000000000004,0.007534866,0.0365,0.003867168,0.022000000000000002,0.008967523,0.013999999999999999,0.000736205
0.0318,0.006528587,0.0286,0.000758061,0.045,0.000647284,0.0365,0.000771484,0.023350000000000003,0.001896781,0.013000000000000001,0.000869799
0.0349,0.006476274,0.03745,0.002252482,0.055999999999999994,0.000541888,0.04155,0.000995821,0.03,0.005200379,0.019,0.00050811
0.025,0.001063576,0.0286,0.001738677,0.045,0.003853052,0.0365,0.009267573,0.013999999999999999,0.005871678,0.013000000000000001,0.001583294
0.0318,0.000539121,0.0286,0.000537546,0.045,0.001727269,0.0365,0.004670278,0.045,0.004886929,0.013999999999999999,0.001712176
0.035,0.004045084,0.0302,0.008097715,0.045,0.003208023,0.03955,0.008217036,0.023350000000000003,0.000587931,0.013999999999999999,0.001133866
0.04,0.002831919,0.0286,0.001768172,0.055,0.001226612,0.0365,0.001444965,0.0375,0.003292407,0.0235,0.001768172
0.0286,0.001832688,0.0254,0.009655028,0.0317,0.004784369,0.034,0.003612876,0.01735,0.002315962,0.0105,0.000866625
0.0272,0.000627244,0.0286,0.008402394,0.0413,0.003080412,0.0365,0.000765303,0.023350000000000003,0.00517004,0.013000000000000001,0.009417898
0.0318,0.005409875,0.0286,0.000913483,0.045,0.005940792999999999,0.037025,0.001620787,0.031,0.00287575,0.0125,0.00301356
0.0318,0.000510345,0.0286,0.000943358,0.045,0.004660042,0.0365,0.000667964,0.023350000000000003,0.00673717,0.013000000000000001,0.002322747
0.0318,0.00051334,0.0286,0.004605827,0.045,0.008817935,0.0365,0.005993162,0.023350000000000003,0.005958198,0.013000000000000001,0.000622673
0.035,0.004463231,0.0286,0.000808455,0.045,0.0006665,0.0365,0.009605724,0.023350000000000003,0.001100772,0.013000000000000001,0.003822178
0.0318,0.000732713,0.0286,0.00223525,0.045,0.000504961,0.0365,0.003456497,0.023350000000000003,0.000797006,0.013000000000000001,0.000962524
0.0318,0.003239855,0.0286,0.000665526,0.045,0.001523095,0.0365,0.00218914,0.023350000000000003,0.001955951,0.013999999999999999,0.000902196
0.0318,0.000514467,0.03055,0.002294046,0.045,0.004203426,0.0365,0.007815509,0.023350000000000003,0.003521566,0.013000000000000001,0.003146445
0.0286,0.007070357,0.027000000000000003,0.007049703,0.0318,0.001062022,0.0365,0.002118264,0.0215,0.005880273,0.013000000000000001,0.003098489
0.0318,0.000969235,0.0286,0.0007492410000000001,0.045,0.005910456,0.0365,0.003924151,0.023350000000000003,0.005631928,0.013000000000000001,0.004528997
0.0318,0.000936484,0.0286,0.000514091,0.045,0.009612752,0.0365,0.004599095,0.023350000000000003,0.002312577,0.013000000000000001,0.006766799
0.0318,0.003537054,0.0286,0.002107447,0.045,0.000675333,0.0365,0.001053512,0.023350000000000003,0.0018126919999999999,0.013000000000000001,0.003610235
0.035,0.003266025,0.029700000000000008,0.001539896,0.047,0.001251075,0.0365,0.00480541,0.0275,0.002473538,0.0165,0.004401638
0.0318,0.003774949,0.0286,0.005269293,0.045,0.008464073,0.0365,0.002565667,0.023350000000000003,0.002434056,0.013000000000000001,0.000590732
0.0349,0.003714695,0.0327,0.004363176,0.045,0.004079251,0.0525,0.006590957,0.02485,0.00126951,0.0145,0.004890505
0.0286,0.002582611,0.0286,0.001105613,0.036000000000000004,0.000825182,0.034825,0.0016078,0.017,0.003316575,0.01275,0.007735891
0.0318,0.007137902,0.0286,0.001044306,0.055,0.002389955,0.0365,0.003728304,0.035,0.005319632,0.013999999999999999,0.000701511
0.0346,0.000784572,0.0286,0.000578758,0.045,0.006600605,0.0365,0.000957259,0.023350000000000003,0.000578758,0.013000000000000001,0.001344038
0.0348,0.000911481,0.0296,0.003867168,0.045,0.002129137,0.037000000000000005,0.000995093,0.02535,0.001315831,0.013000000000000001,0.002861065
0.0318,0.003867168,0.0286,0.005398018,0.045,0.000820367,0.0365,0.000501832,0.02,0.005265441,0.0165,0.001196486
0.0318,0.00055961,0.0286,0.001251075,0.045,0.002473538,0.0415,0.00274826,0.023350000000000003,0.008184049,0.013000000000000001,0.00278061
0.0318,0.001336197,0.0286,0.000631849,0.045,0.005441621,0.0365,0.000761952,0.023350000000000003,0.002825712,0.0215,0.000761952
0.0318,0.007523852,0.0286,0.000606049,0.0418,0.004265364,0.03725,0.005083798,0.023350000000000003,0.004542267,0.013000000000000001,0.005343028
0.0318,0.003242225,0.0286,0.006280361,0.045,0.003437589,0.0365,0.008172086,0.026000000000000002,0.001164542,0.013000000000000001,0.005521804
0.035,0.002684686,0.0286,0.000551484,0.05,0.003053495,0.0365,0.001052741,0.0195,0.002724246,0.012,0.0023604240000000003
0.0286,0.002028802,0.0254,0.004752979,0.0317,0.00167257,0.034,0.008915206999999998,0.0221,0.000579181,0.0105,0.006443203
0.0286,0.000909816,0.0286,0.003426294,0.05,0.000688549,0.0365,0.006389237,0.023350000000000003,0.000680539,0.013000000000000001,0.000945776
0.0318,0.008304642,0.0286,0.000602073,0.045,0.007301587,0.0365,0.000719701,0.023350000000000003,0.000891048,0.013000000000000001,0.000670902
0.0318,0.003860104,0.03175,0.004838915,0.05,0.001200431,0.0365,0.007140513,0.027000000000000003,0.002284837,0.013999999999999999,0.007727408999999999
0.03,0.005799125,0.0277,0.00407031,0.04,0.002260734,0.0365,0.00828644,0.023350000000000003,0.005304092,0.0185,0.00218914
0.0318,0.007390235,0.0286,0.001327916,0.045,0.004530654,0.0365,0.008560571,0.023350000000000003,0.002553499,0.013000000000000001,0.001101175
0.0286,0.004962567,0.027000000000000003,0.00450587,0.0463,0.005261591,0.0365,0.006495249,0.02125,0.002381231,0.0145,0.003144145
0.0318,0.000826994,0.029200000000000007,0.004356798,0.045,0.001484601,0.0365,0.001020895,0.022000000000000002,0.000789176,0.017,0.003066924
0.0318,0.000865991,0.0286,0.000926266,0.045,0.002221398,0.0365,0.001266727,0.023350000000000003,0.007579082,0.013000000000000001,0.00160545
